"Row","Description","Part","References","Value","Footprint","Quantity Per PCB","Status","Datasheet","lcsc#","jlc-part-type"
"1","Unpolarized capacitor","C","C1,C2","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"," ","~","C15850","B"
"2","Light emitting diode","LED","D2","LED-G","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"," ","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1806151820_Hubei-KENTO-Elec-KT-0805G_C2297.pdf","C2297","B"
"3","Light emitting diode","LED","D1","LED-R","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"," ","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256","B"
"4","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x04","J1","ssd1306 oled","oled_i2c_128x64_ssd1306","1"," ","~","","-"
"5","Resistor","R","R1,R3,R5,R7,R9,R11,R13,R15,R17,R18,R21,R22","330","R_0805_2012Metric","12"," ","~","C17630","B"
"6","Resistor","R","R2,R4,R6,R8,R10,R12,R14,R16,R19,R20","4k7","R_0805_2012Metric","10"," ","~","C17673","B"
"7","Push button switch, generic, two pins","SW_Push","SW1,SW2","USR_BTN","SW_SPST_PTS645","2"," ","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2102191506_DGBZ-YTSD003A0452502B_C2689405.pdf","C2689405","E"
"8","Audio Jack, 4 Poles (Stereo / TRRS), Switched TR1 Poles (Normalling)","AudioJack4_SwitchTR1","T1,T2,T3,T4,T5,T6,T7,T8","PJ-242","PJ-242","8"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2210081801_hanxia-HX-PJ-242_C5184834.pdf","C5184834","E"
"9","","esp32-c3-supermini","U1","esp32-c3-supermini","esp32-c3-supermini","1"," ","","","-"
